age_entry,sex,arm,counts,,,
50 ,M,C,1481,,,
51,M,C,1481,,,
52,M,C,1481,,,
53,M,C,1481,,,
54,M,C,1481,,,
55 ,M,C,1510,,,
56 ,M,C,1510,,,
57 ,M,C,1510,,,
58 ,M,C,1510,,,
59 ,M,C,1510,,,
60 ,M,C,1365,,,
61 ,M,C,1365,,,
62 ,M,C,1365,,,
63 ,M,C,1365,,,
64 ,M,C,1365,,,
65 ,M,C,1128,,,
66 ,M,C,1128,,,
67 ,M,C,1128,,,
68 ,M,C,1128,,,
69 ,M,C,1128,,,
70 ,M,C,989,,,
71 ,M,C,989,,,
72 ,M,C,989,,,
73 ,M,C,989,,,
74 ,M,C,989,,,
75 ,M,C,881,,,
76 ,M,C,881,,,
77 ,M,C,881,,,
50 ,F,C,1450,,,
51,F,C,1450,,,
52,F,C,1450,,,
53,F,C,1450,,,
54,F,C,1450,,,
55 ,F,C,1484,,,
56 ,F,C,1484,,,
57 ,F,C,1484,,,
58 ,F,C,1484,,,
59 ,F,C,1484,,,
60 ,F,C,1342,,,
61 ,F,C,1342,,,
62 ,F,C,1342,,,
63 ,F,C,1342,,,
64 ,F,C,1342,,,
65 ,F,C,1128,,,
66 ,F,C,1128,,,
67 ,F,C,1128,,,
68 ,F,C,1128,,,
69 ,F,C,1128,,,
70 ,F,C,1026,,,
71 ,F,C,1026,,,
72 ,F,C,1026,,,
73 ,F,C,1026,,,
74 ,F,C,1026,,,
75 ,F,C,954,,,
76 ,F,C,954,,,
77 ,F,C,954,,,
50,M,S,1481,,,
51,M,S,1481,,,
52,M,S,1481,,,
53,M,S,1481,,,
54,M,S,1481,,,
55,M,S,1510,,,
56,M,S,1510,,,
57,M,S,1510,,,
58,M,S,1510,,,
59,M,S,1510,,,
60,M,S,1365,,,
61,M,S,1365,,,
62,M,S,1365,,,
63,M,S,1365,,,
64,M,S,1365,,,
65,M,S,1128,,,
66,M,S,1128,,,
67,M,S,1128,,,
68,M,S,1128,,,
69,M,S,1128,,,
70,M,S,989,,,
71,M,S,989,,,
72,M,S,989,,,
73,M,S,989,,,
74,M,S,989,,,
75,M,S,881,,,
76,M,S,881,,,
77,M,S,881,,,
50,F,S,1450,,,
51,F,S,1450,,,
52,F,S,1450,,,
53,F,S,1450,,,
54,F,S,1450,,,
55,F,S,1484,,,
56,F,S,1484,,,
57,F,S,1484,,,
58,F,S,1484,,,
59,F,S,1484,,,
60,F,S,1342,,,
61,F,S,1342,,,
62,F,S,1342,,,
63,F,S,1342,,,
64,F,S,1342,,,
65,F,S,1128,,,
66,F,S,1128,,,
67,F,S,1128,,,
68,F,S,1128,,,
69,F,S,1128,,,
70,F,S,1026,,,
71,F,S,1026,,,
72,F,S,1026,,,
73,F,S,1026,,,
74,F,S,1026,,,
75,F,S,954,,,
76,F,S,954,,,
77,F,S,954,,,
,,,,,,
