"site","sex","OMST","DMST","status"
"Other","males",1,0.5,"ok"
"Other","males",2,0.5,"ok"
"Other","males",2,1,"ok"
"Anus","males",1,0.5,"ok"
"Anus","males",2,0.5,"ok"
"Anus","males",2,1,"ok"
"Bladder","males",1,0.5,"ok"
"Bladder","males",2,0.5,"ok"
"Bladder","males",2,1,"ok"
"Breast","males",1,0.5,"ok"
"Breast","males",2,0.5,"ok"
"Breast","males",2,1,"ok"
"Colorectal","males",1,0.5,"ok"
"Colorectal","males",2,0.5,"ok"
"Colorectal","males",2,1,"ok"
"Esophagus","males",1,0.5,"ok"
"Esophagus","males",2,0.5,"ok"
"Esophagus","males",2,1,"ok"
"Gallbladder","males",1,0.5,"ok"
"Gallbladder","males",2,0.5,"ok"
"Gallbladder","males",2,1,"ok"
"Headneck","males",1,0.5,"ok"
"Headneck","males",2,0.5,"ok"
"Headneck","males",2,1,"ok"
"Kidney","males",1,0.5,"ok"
"Kidney","males",2,0.5,"ok"
"Kidney","males",2,1,"ok"
"Liver","males",1,0.5,"ok"
"Liver","males",2,0.5,"ok"
"Liver","males",2,1,"ok"
"Lung","males",1,0.5,"ok"
"Lung","males",2,0.5,"ok"
"Lung","males",2,1,"ok"
"Lymphoidleuk","males",1,0.5,"ok"
"Lymphoidleuk","males",2,0.5,"ok"
"Lymphoidleuk","males",2,1,"ok"
"Lymphoma","males",1,0.5,"ok"
"Lymphoma","males",2,0.5,"ok"
"Lymphoma","males",2,1,"ok"
"Melanoma","males",1,0.5,"ok"
"Melanoma","males",2,0.5,"ok"
"Melanoma","males",2,1,"ok"
"Pancreas","males",1,0.5,"ok"
"Pancreas","males",2,0.5,"ok"
"Pancreas","males",2,1,"ok"
"Plasmacell","males",1,0.5,"ok"
"Plasmacell","males",2,0.5,"ok"
"Plasmacell","males",2,1,"ok"
"Prostate","males",1,0.5,"ok"
"Prostate","males",2,0.5,"ok"
"Prostate","males",2,1,"ok"
"Sarcoma","males",1,0.5,"ok"
"Sarcoma","males",2,0.5,"ok"
"Sarcoma","males",2,1,"ok"
"Stomach","males",1,0.5,"ok"
"Stomach","males",2,0.5,"ok"
"Stomach","males",2,1,"ok"
"Thyroid","males",1,0.5,"ok"
"Thyroid","males",2,0.5,"ok"
"Thyroid","males",2,1,"ok"
"Urothelial","males",1,0.5,"ok"
"Urothelial","males",2,0.5,"ok"
"Urothelial","males",2,1,"ok"
