OMST,LMST,early_alpha,late_alpha,score,cal_method,deviation
1.9,0.95,25,80,0.05,A,0
1.6,0.95,30,80,2.05,A,2
1.8,0.95,25,80,2.06,A,2.01
1.7,0.9,25,80,2.38,A,2.33
1,0.95,55,85,2.54,A,2.49
1.2,1,50,80,2.64,A,2.59
1.2,0.95,40,85,2.85,A,2.8
1.3,1,45,80,2.96,A,2.91
1.1,0.95,45,85,3.37,A,3.32
1.6,0.9,30,90,3.53,A,3.48
1.6,1,35,80,3.65,A,3.6
2,0.95,20,80,4.01,A,3.96
2,0.9,20,85,4.13,A,4.08
2,0.9,20,80,4.26,A,4.21
1.1,1,60,80,4.36,A,4.31
2,0.95,25,80,4.41,A,4.36
1.5,0.95,30,80,4.43,A,4.38
1.3,0.95,40,90,4.46,A,4.41
1,0.9,55,90,4.58,A,4.53
1.9,0.9,25,85,4.58,A,4.53
1.7,0.95,35,100,38.9,B,0
2,0.95,30,100,41.41,B,2.51
2,0.95,30,90,41.7,B,2.8
1.6,0.9,35,100,44.54,B,5.64
1.3,0.95,45,100,44.58,B,5.68
1.8,0.95,35,100,44.76,B,5.86
1.4,0.95,45,100,45.41,B,6.51
1.7,0.95,30,100,45.55,B,6.65
1.9,0.9,30,100,45.66,B,6.76
1.8,0.95,30,100,46.54,B,7.64
1.2,0.95,50,100,46.57,B,7.67
1.3,0.95,50,100,46.62,B,7.72
1.1,0.95,60,100,46.68,B,7.78
1.1,0.95,65,100,46.96,B,8.06
1.6,0.95,40,100,47.69,B,8.79
1.4,0.95,40,100,48.46,B,9.56
2,0.95,25,100,48.94,B,10.04
1.6,0.95,35,100,49.38,B,10.48
2,0.9,30,95,50.11,B,11.21
1.3,0.95,55,100,50.78,B,11.88
